Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
77427904,000001DA,FALSE,Rx,0,8,BB,64,18,0,0,1,3,C6
77430024,0000011A,FALSE,Rx,0,8,4E,40,0,AA,C0,0,0,6B
77430261,000001D4,FALSE,Rx,0,8,F7,7,0,0,7,44,30,70
77430499,000001DC,FALSE,Rx,0,8,A0,0A,5,D5,0,0,0,CE
77430737,000001DB,FALSE,Rx,0,8,FF,C0,B9,AB,40,0,0,9D
77430976,000001F2,FALSE,Rx,0,8,30,64,20,AC,0,3C,0,8F
77431185,521,FALSE,Rx,0,6,0,0A,60,FC,FF,FF,0,0
77437900,000001DA,FALSE,Rx,0,8,BB,64,18,0,0,1,0,CC
77438135,0000055A,FALSE,Rx,0,8,0,3C,39,0,5F,3E,5B,48
77440028,0000011A,FALSE,Rx,0,8,4E,40,0,55,0,0,1,7D
77440268,000001D4,FALSE,Rx,0,8,F7,7,0,0,47,44,30,B7
77440496,000001DC,FALSE,Rx,0,8,A0,0A,5,D5,0,0,1,4B
77440734,000001DB,FALSE,Rx,0,8,FF,C0,B9,AB,40,0,1,18
77440974,000001F2,FALSE,Rx,0,8,30,64,20,AC,0,3C,1,8F
77447898,000001DA,FALSE,Rx,0,8,BB,64,18,0,0,1,1,49
77450028,0000011A,FALSE,Rx,0,8,4E,40,0,55,40,0,2,B0
77450276,000001D4,FALSE,Rx,0,8,F7,7,0,0,87,44,30,7B
77450514,000001DC,FALSE,Rx,0,8,A0,0A,5,D5,0,0,2,41
77450742,000001DB,FALSE,Rx,0,8,FF,C0,B9,AB,40,0,2,12
77450981,000001F2,FALSE,Rx,0,8,30,64,20,AC,0,3C,2,8F
77457900,000001DA,FALSE,Rx,0,8,BB,64,18,0,0,1,2,43
77460030,0000011A,FALSE,Rx,0,8,4E,40,0,AA,80,0,3,A6
77460257,000001D4,FALSE,Rx,0,8,F7,7,0,0,C7,44,30,BC
77460495,000001DC,FALSE,Rx,0,8,A0,0A,5,D5,0,0,3,C4
77460733,000001DB,FALSE,Rx,0,8,FF,C0,B9,AB,40,0,3,97
77460962,000001F2,FALSE,Rx,0,8,30,64,20,AC,0,3C,3,8F
77467904,000001DA,FALSE,Rx,0,8,BB,64,18,0,0,1,3,C6
77469272,522,FALSE,Rx,0,6,1,0D,67,AA,5,0,0,0
77469501,523,FALSE,Rx,0,6,2,0D,CC,FF,FF,FF,0,0
77469718,524,FALSE,Rx,0,6,3,0D,EF,FF,FF,FF,0,0
77469935,525,FALSE,Rx,0,6,4,0D,D8,0,0,0,0,0
77470167,0000011A,FALSE,Rx,0,8,4E,40,0,AA,C0,0,0,6B
77470405,000001D4,FALSE,Rx,0,8,F7,7,0,0,7,44,30,70
77470643,000001DC,FALSE,Rx,0,8,A0,0A,5,D5,0,0,0,CE
77470882,000001DB,FALSE,Rx,0,8,FF,C0,B9,AB,40,0,0,9D
77471122,000001F2,FALSE,Rx,0,8,30,64,20,AC,0,3C,0,8F
77477888,000001DA,FALSE,Rx,0,8,BB,64,18,0,0,1,0,CC
77480030,0000011A,FALSE,Rx,0,8,4E,40,0,55,0,0,1,7D
77480265,000001D4,FALSE,Rx,0,8,F7,7,0,0,47,44,30,B7
77480504,000001DC,FALSE,Rx,0,8,A0,0A,5,D5,0,0,1,4B
77480731,000001DB,FALSE,Rx,0,8,FF,C0,B9,AB,40,0,1,18
77480971,000001F2,FALSE,Rx,0,8,30,64,20,AC,0,3C,1,8F
77482263,0000039F,FALSE,Rx,0,8,3A,71,0,B8,15,0,8,EE
77482512,323,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
77482751,324,FALSE,Rx,0,8,0,48,8F,3D,3D,0,0,0
77482999,0000033B,FALSE,Rx,0,8,0,0,0,3D,0,0,0,0
77483240,0000033D,FALSE,Rx,0,8,0,0,10,20,0,18,0,0
77483478,000003A2,FALSE,Rx,0,8,21,73,10,60,3,FF,0,DE
77483726,000003A4,FALSE,Rx,0,8,0,0,1F,0,8,0,0,0
77483966,000003B7,FALSE,Rx,0,8,0,0,0,0,0,8,86,3C
77487894,000001DA,FALSE,Rx,0,8,BB,64,18,0,0,1,1,49
77490035,0000011A,FALSE,Rx,0,8,4E,40,0,55,40,0,2,B0
77490270,000001D4,FALSE,Rx,0,8,F7,7,0,0,87,44,30,7B
77490509,000001DC,FALSE,Rx,0,8,A0,0A,5,D5,0,0,2,41
77490737,000001DB,FALSE,Rx,0,8,FF,C0,B9,AB,40,0,2,12
77490976,000001F2,FALSE,Rx,0,8,30,64,20,AC,0,3C,2,8F
77497895,000001DA,FALSE,Rx,0,8,BB,64,18,0,0,1,2,43
77500026,0000011A,FALSE,Rx,0,8,4E,40,0,AA,80,0,3,A6
77500251,000001D4,FALSE,Rx,0,8,F7,7,0,0,C7,44,30,BC
77500490,000001DC,FALSE,Rx,0,8,A0,0A,5,D5,0,0,3,C4
77500728,000001DB,FALSE,Rx,0,8,FF,C0,B9,AB,40,0,3,97
77500967,000001F2,FALSE,Rx,0,8,30,64,20,AC,0,3C,3,8F
77501412,526,FALSE,Rx,0,6,5,0C,A8,FE,FF,FF,0,0
77507890,000001DA,FALSE,Rx,0,8,BB,64,18,0,0,1,3,C6
77510021,0000011A,FALSE,Rx,0,8,4E,40,0,AA,C0,0,0,6B
