Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
12632330,521,FALSE,Rx,0,6,0,0,12,0,0,0,0,0
12635249,0000029C,FALSE,Rx,0,8,28,FF,83,FF,0,FF,7F,FF
12635505,000006F6,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
12662559,522,FALSE,Rx,0,6,1,3,C2,FF,FF,FF,0,0
12662772,523,FALSE,Rx,0,6,2,3,E2,FF,FF,FF,0,0
12662999,524,FALSE,Rx,0,6,3,3,5,0,0,0,0,0
12663219,525,FALSE,Rx,0,6,4,3,DB,0,0,0,0,0
12694393,526,FALSE,Rx,0,6,5,2,0,0,0,0,0,0
12713273,527,FALSE,Rx,0,6,6,0E,E0,23,0,0,0,0
12713496,528,FALSE,Rx,0,6,7,0E,9B,3,0,0,0,0
12731909,521,FALSE,Rx,0,6,0,1,11,0,0,0,0,0
12735252,0000029C,FALSE,Rx,0,8,28,FF,83,FF,0,FF,7F,FF
12735498,000006F6,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
12762158,522,FALSE,Rx,0,6,1,4,EF,FF,FF,FF,0,0
12762382,523,FALSE,Rx,0,6,2,4,E2,FF,FF,FF,0,0
12762599,524,FALSE,Rx,0,6,3,4,13,0,0,0,0,0
12762817,525,FALSE,Rx,0,6,4,4,DB,0,0,0,0,0
12793950,526,FALSE,Rx,0,6,5,3,0,0,0,0,0,0
12813045,527,FALSE,Rx,0,6,6,0F,E0,23,0,0,0,0
12813260,528,FALSE,Rx,0,6,7,0F,9B,3,0,0,0,0
12831475,521,FALSE,Rx,0,6,0,2,16,0,0,0,0,0
12835244,0000029C,FALSE,Rx,0,8,28,FF,83,FF,0,FF,7F,FF
12835488,000006F6,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
12861734,522,FALSE,Rx,0,6,1,5,C9,FF,FF,FF,0,0
12861947,523,FALSE,Rx,0,6,2,5,ED,FF,FF,FF,0,0
12862166,524,FALSE,Rx,0,6,3,5,FD,FF,FF,FF,0,0
12862384,525,FALSE,Rx,0,6,4,5,DB,0,0,0,0,0
250559,526,FALSE,Rx,0,6,5,4,0,0,0,0,0,0
269414,527,FALSE,Rx,0,6,6,0,E0,23,0,0,0,0
269637,528,FALSE,Rx,0,6,7,0,9B,3,0,0,0,0
288048,521,FALSE,Rx,0,6,0,3,18,0,0,0,0,0
292232,0000029C,FALSE,Rx,0,8,28,FF,83,FF,0,FF,7F,FF
292487,000006F6,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
318278,522,FALSE,Rx,0,6,1,6,C2,FF,FF,FF,0,0
318501,523,FALSE,Rx,0,6,2,6,E8,FF,FF,FF,0,0
318718,524,FALSE,Rx,0,6,3,6,8,0,0,0,0,0
318937,525,FALSE,Rx,0,6,4,6,DB,0,0,0,0,0
350113,526,FALSE,Rx,0,6,5,5,0,0,0,0,0,0
368999,527,FALSE,Rx,0,6,6,1,E0,23,0,0,0,0
369225,528,FALSE,Rx,0,6,7,1,9B,3,0,0,0,0
387624,521,FALSE,Rx,0,6,0,4,11,0,0,0,0,0
392232,0000029C,FALSE,Rx,0,8,28,FF,83,FF,0,FF,7F,FF
392476,000006F6,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
417882,522,FALSE,Rx,0,6,1,7,CB,FF,FF,FF,0,0
418108,523,FALSE,Rx,0,6,2,7,D2,FF,FF,FF,0,0
418325,524,FALSE,Rx,0,6,3,7,5,0,0,0,0,0
418543,525,FALSE,Rx,0,6,4,7,DB,0,0,0,0,0
449686,526,FALSE,Rx,0,6,5,6,0,0,0,0,0,0
468678,527,FALSE,Rx,0,6,6,2,E0,23,0,0,0,0
468901,528,FALSE,Rx,0,6,7,2,9B,3,0,0,0,0
487202,521,FALSE,Rx,0,6,0,5,14,0,0,0,0,0
492223,0000029C,FALSE,Rx,0,8,28,FF,83,FF,0,FF,7F,FF
492468,000006F6,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
517450,522,FALSE,Rx,0,6,1,8,DD,FF,FF,FF,0,0
517673,523,FALSE,Rx,0,6,2,8,DA,FF,FF,FF,0,0
517891,524,FALSE,Rx,0,6,3,8,2,0,0,0,0,0
518110,525,FALSE,Rx,0,6,4,8,DB,0,0,0,0,0
549285,526,FALSE,Rx,0,6,5,7,0,0,0,0,0,0
568153,527,FALSE,Rx,0,6,6,3,E0,23,0,0,0,0
568376,528,FALSE,Rx,0,6,7,3,9B,3,0,0,0,0
586765,521,FALSE,Rx,0,6,0,6,17,0,0,0,0,0
592212,0000029C,FALSE,Rx,0,8,28,FF,83,FF,0,FF,7F,FF
592468,000006F6,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
617004,522,FALSE,Rx,0,6,1,9,D5,FF,FF,FF,0,0
617219,523,FALSE,Rx,0,6,2,9,FE,FF,FF,FF,0,0
617436,524,FALSE,Rx,0,6,3,9,E3,FF,FF,FF,0,0
617654,525,FALSE,Rx,0,6,4,9,DB,0,0,0,0,0
648848,526,FALSE,Rx,0,6,5,8,0,0,0,0,0,0
667715,527,FALSE,Rx,0,6,6,4,E0,23,0,0,0,0
667938,528,FALSE,Rx,0,6,7,4,9B,3,0,0,0,0
686350,521,FALSE,Rx,0,6,0,7,11,0,0,0,0,0
692212,0000029C,FALSE,Rx,0,8,28,FF,83,FF,0,FF,7F,FF
692456,000006F6,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
716608,522,FALSE,Rx,0,6,1,0A,C4,FF,FF,FF,0,0
716833,523,FALSE,Rx,0,6,2,0A,DF,FF,FF,FF,0,0
717050,524,FALSE,Rx,0,6,3,0A,DF,FF,FF,FF,0,0
717268,525,FALSE,Rx,0,6,4,0A,DB,0,0,0,0,0
748403,526,FALSE,Rx,0,6,5,9,0,0,0,0,0,0
767487,527,FALSE,Rx,0,6,6,5,E0,23,0,0,0,0
767710,528,FALSE,Rx,0,6,7,5,9B,3,0,0,0,0
785925,521,FALSE,Rx,0,6,0,8,17,0,0,0,0,0
792201,0000029C,FALSE,Rx,0,8,28,FF,83,FF,0,FF,7F,FF
792456,000006F6,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
816164,522,FALSE,Rx,0,6,1,0B,CF,FF,FF,FF,0,0
816387,523,FALSE,Rx,0,6,2,0B,D9,FF,FF,FF,0,0
816616,524,FALSE,Rx,0,6,3,0B,0,0,0,0,0,0
816833,525,FALSE,Rx,0,6,4,0B,DB,0,0,0,0,0
848007,526,FALSE,Rx,0,6,5,0A,0,0,0,0,0,0
866864,527,FALSE,Rx,0,6,6,6,E0,23,0,0,0,0
867087,528,FALSE,Rx,0,6,7,6,9B,3,0,0,0,0
885489,521,FALSE,Rx,0,6,0,9,0F,0,0,0,0,0
892191,0000029C,FALSE,Rx,0,8,28,FF,83,FF,0,FF,7F,FF
892446,000006F6,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
915728,522,FALSE,Rx,0,6,1,0C,E6,FF,FF,FF,0,0
915941,523,FALSE,Rx,0,6,2,0C,D6,FF,FF,FF,0,0
916160,524,FALSE,Rx,0,6,3,0C,FD,FF,FF,FF,0,0
916388,525,FALSE,Rx,0,6,4,0C,DB,0,0,0,0,0
947564,526,FALSE,Rx,0,6,5,0B,0,0,0,0,0,0
966443,527,FALSE,Rx,0,6,6,7,E0,23,0,0,0,0
966667,528,FALSE,Rx,0,6,7,7,9B,3,0,0,0,0
985069,521,FALSE,Rx,0,6,0,0A,13,0,0,0,0,0
992196,0000029C,FALSE,Rx,0,8,28,FF,83,FF,0,FF,7F,FF
992441,000006F6,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
1015329,522,FALSE,Rx,0,6,1,0D,E0,FF,FF,FF,0,0
1015553,523,FALSE,Rx,0,6,2,0D,F2,FF,FF,FF,0,0
1015771,524,FALSE,Rx,0,6,3,0D,5,0,0,0,0,0
1015988,525,FALSE,Rx,0,6,4,0D,DB,0,0,0,0,0
1047133,526,FALSE,Rx,0,6,5,0C,0,0,0,0,0,0
1066207,527,FALSE,Rx,0,6,6,8,E0,23,0,0,0,0
1066431,528,FALSE,Rx,0,6,7,8,9B,3,0,0,0,0
1084646,521,FALSE,Rx,0,6,0,0B,11,0,0,0,0,0
1092186,0000029C,FALSE,Rx,0,8,28,FF,83,FF,0,FF,7F,FF
1092431,000006F6,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
1114904,522,FALSE,Rx,0,6,1,0E,C0,FF,FF,FF,0,0
1115119,523,FALSE,Rx,0,6,2,0E,E3,FF,FF,FF,0,0
1115337,524,FALSE,Rx,0,6,3,0E,28,0,0,0,0,0
1115554,525,FALSE,Rx,0,6,4,0E,DB,0,0,0,0,0
1146727,526,FALSE,Rx,0,6,5,0D,0,0,0,0,0,0
1165595,527,FALSE,Rx,0,6,6,9,E0,23,0,0,0,0
1165818,528,FALSE,Rx,0,6,7,9,9B,3,0,0,0,0
1184220,521,FALSE,Rx,0,6,0,0C,11,0,0,0,0,0
1192176,0000029C,FALSE,Rx,0,8,28,FF,83,FF,0,FF,7F,FF
1192430,000006F6,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
1214459,522,FALSE,Rx,0,6,1,0F,DD,FF,FF,FF,0,0
1214682,523,FALSE,Rx,0,6,2,0F,F8,FF,FF,FF,0,0
1214899,524,FALSE,Rx,0,6,3,0F,F6,FF,FF,FF,0,0
1215118,525,FALSE,Rx,0,6,4,0F,DB,0,0,0,0,0
1246305,526,FALSE,Rx,0,6,5,0E,0,0,0,0,0,0
1265172,527,FALSE,Rx,0,6,6,0A,E0,23,0,0,0,0
1265385,528,FALSE,Rx,0,6,7,0A,9B,3,0,0,0,0
1283796,521,FALSE,Rx,0,6,0,0D,0D,0,0,0,0,0
1292176,0000029C,FALSE,Rx,0,8,28,FF,83,FF,0,FF,7F,FF
1292420,000006F6,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
1314044,522,FALSE,Rx,0,6,1,0,CF,FF,FF,FF,0,0
1314270,523,FALSE,Rx,0,6,2,0,F1,FF,FF,FF,0,0
1314487,524,FALSE,Rx,0,6,3,0,6,0,0,0,0,0
1314715,525,FALSE,Rx,0,6,4,0,DB,0,0,0,0,0
1345857,526,FALSE,Rx,0,6,5,0F,0,0,0,0,0,0
1364942,527,FALSE,Rx,0,6,6,0B,E0,23,0,0,0,0
1365157,528,FALSE,Rx,0,6,7,0B,9B,3,0,0,0,0
1383372,521,FALSE,Rx,0,6,0,0E,14,0,0,0,0,0
1392165,0000029C,FALSE,Rx,0,8,28,FF,83,FF,0,FF,7F,FF
1392410,000006F6,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
1413629,522,FALSE,Rx,0,6,1,1,B6,FF,FF,FF,0,0
1413842,523,FALSE,Rx,0,6,2,1,E4,FF,FF,FF,0,0
1414071,524,FALSE,Rx,0,6,3,1,1,0,0,0,0,0
1414289,525,FALSE,Rx,0,6,4,1,DB,0,0,0,0,0
1445453,526,FALSE,Rx,0,6,5,0,0,0,0,0,0,0
